id,symbol,signal_type,cancel_reason,signal_ts,decision_ts,signal_price,final_price,price_change_pct,score,final_score,min_score_at_entry,entry_mode_candidate,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h
45,FILUSDT,overheated,score_dropped,2026-04-13 15:01:39.492935+00,2026-04-13 15:01:39.49294+00,0.8747,0.8748,0.011432491139818108,47.131266819323926,39.3,45,direct,7,30,24,5,0.2,0.8,-0.3,69.04953455885826,0.4245782838123267,1.8937262692846963,0.4373413678107966,18,-0.04150264973086766,3,0,0,0,0,0.0001,72.06659891150753,9,-0,0.3433995995423457,0.11507830031055745,0,0.35566773749426245,0.5396716040877296,0,0,0.06943464705898222,0.0001,0.254933739568594,1
46,AEROUSDT,early_warning,price_dropped,2026-04-13 15:03:11.318243+00,2026-04-13 15:03:11.318248+00,0.3704,0.3687,-0.4589632829373594,46,46.8,45,direct,7,30,24,5,0.2,0.8,-0.3,81.64220404310606,0.9214392259088446,0.3142549377621189,0.5571970105960067,30,-0.10364821390248505,10,0,0,0,0.6666666666668517,0,81.27957388240048,5,-0,0.6084738432099327,0.208747297110983,0,0.5156037991858922,2.4282560706401695,0,0,0.12995730369733952,-0.00017569,-0.3561998042485922,0.3
47,FOLKSUSDT,overheated,score_dropped,2026-04-13 15:03:25.295577+00,2026-04-13 15:03:25.295583+00,1.2783,1.2771,-0.09387467730580379,50.50171977678794,35.1,45,direct,8,30,24,5,0.2,0.8,-0.3,67.15468398791597,1.5967396494307646,0,0,15,-0.0181553015109803,6,0,0,0,0.4761904761904258,0.00022242,65.95336243108763,23,1,0.7435843379246714,0.6957942921484698,4153588.1423,0.0156482278381956,6.368216734120752,0,0,0.12995730369733952,0.00022242,2.509960524351337,-1
48,WUSDT,overheated,score_dropped,2026-04-13 15:03:26.410956+00,2026-04-13 15:03:26.410962+00,0.012079,0.012075,-0.03311532411622482,46.06223799374322,32.6,45,direct,6,30,24,5,0.2,0.8,-0.3,65.35908331679869,0.2577693239306901,5.07108508202473,0,4,-0.028273589540974947,4,0,0,0,0,5e-05,59.6418518155876,9,1,0.74875,0.08979890298163419,2793004.9774,0.11603812681309676,0.3978450062163379,0,0,0.12995730369733952,5e-05,0.036643085584717704,1
49,ARCUSDT,overheated,score_dropped,2026-04-13 15:10:01.005705+00,2026-04-13 15:10:01.005709+00,0.07334,0.0739,0.7635669484592188,50.783996170163974,41.9,45,direct,8,30,24,5,0.2,0.8,-0.3,63.63794396272539,0.3468836415547878,4.3469507508349094,0.38582721418721366,53,1.3696070084970016,1,0,0,0,0.6288659793814436,9.68e-05,59.43076506814041,26,-0,0.7659619450317126,0.23093722841972417,0,1.6070933776669554,1.61245482346399,0,0,0.5860116312533975,9.68e-05,0.06591287257407652,-1
50,SIRENUSDT,overheated,score_dropped,2026-04-13 15:10:47.557559+00,2026-04-13 15:10:47.557566+00,0.78803,0.78823,0.025379744425970834,46.16839685105646,44.7,45,direct,6,30,24,5,0.2,0.8,-0.3,64.30789306917794,0.3368460958671217,2.2579623539804796,0,17,0.025533843492940696,3,0,0,0,0,0,58.67695386492991,31,1,0.7477611940298508,0.15808710261438794,0,0.3616958952610137,0.6964144240844328,0,0,0.60181657387269,-0.00511654,-0.06247733237605997,-1
51,BSBUSDT,overheated,score_dropped,2026-04-13 15:14:55.780307+00,2026-04-13 15:14:55.780312+00,0.2286,0.2284,-0.08748906386701913,48.246731621957665,43.9,45,direct,7,30,24,5,0.2,0.8,-0.3,66.01874146828712,1.206968251579777,4.554773241141171,0.18211692008688338,54,1.6326432869389027,3,0,0,0,0.9142857142857079,5e-05,66.80252071055558,41,-0,0.6942759701355039,0.3708215215327214,0,1.8716577540106996,4.403086699954614,0,0,0.634561190226474,5e-05,-0.12293120400213171,-1
52,SIRENUSDT,early_warning,score_dropped,2026-04-13 15:25:25.340123+00,2026-04-13 15:25:25.340131+00,0.79502,0.79635,0.16729138889588357,47.26324581095274,40.8,45,direct,6,30,24,5,0.2,0.8,-0.3,71.22315290410984,0.44728811362993404,0.9967778871327516,0,31,0.31612938126006074,4,0,0,0,0.7444444444444184,0,67.70183374959882,34,1,0.6292875593376321,0.16699734909182462,0,0.2787553133789854,1.9495824153302261,0,0,0.019889840881276998,-0.00511654,0.008662819329166958,-1
53,AKEUSDT,overheated,score_dropped,2026-04-13 15:30:37.090983+00,2026-04-13 15:30:37.090988+00,0.0005596,0.0005597,0.01786990707647395,47.97336977386374,42.6,45,direct,7,30,24,5,0.2,0.8,-0.3,62.042669165204245,0.9343383759888659,2.0611307605824347,0.6828336470840594,25,0.6721961228144608,3,0,0,0,0.3333333333333253,0.00112534,56.036168254661455,5,-0,0.7782608695652173,0.3215823069126745,0,1.2484168626741459,-0.5859375000000046,0,0,-0.01112373345866073,0.00112534,-0.505142497692075,-1
54,FFUSDT,early_warning,score_dropped,2026-04-13 15:37:14.491317+00,2026-04-13 15:37:14.491322+00,0.07854,0.07859,0.0636618283677037,46.41472796085067,44.7,45,direct,7,30,24,5,0.2,0.8,-0.3,61.121746687242535,0.01174934136643305,0,0,12,-0.005185466306184022,0,0,0,0,0,5e-05,71.35997584856922,19,1,0.7387096774193549,0.17878544112714306,0,0.33214103219212615,0.8478931140801566,0,0,0.35547305690080677,5e-05,0.33901170280979187,1
